lmin,iters
0.8222702160364777,16
0.3154329017283446,77
0.056013330775547446,486
0.8568664308575514,14
0.21917356771552227,115
0.13920818580183236,183
0.8654866232932289,14
0.29031028517790025,84
0.039163715913165406,740
0.8604229995671329,14
0.28340438268317614,85
0.0682966891576692,382
0.8420404854023454,15
0.34954453531535834,68
0.09511583856459535,286
0.8514394685950077,15
0.26242127157103634,94
0.04809965325565208,579
0.8576644509693676,15
0.21452230740881745,118
0.053903559600753756,507
0.8487824095639338,14
0.38739059608545545,59
0.05749180077881737,484
0.8545269706073417,15
0.24150770764416685,104
0.07013420239783882,396
0.8511600156055589,14
0.24618579383021655,101
0.05816760676612256,470
0.8541585077751033,15
0.38136967270329375,60
0.11167092840444298,228
0.855358137754729,15
0.24843025173094224,99
0.2573873787036651,96
0.8448405472980082,15
0.29479409000425527,79
0.05301372050237471,538
0.819582860073801,17
0.3176289592807564,73
0.0835022768688132,334
0.8597970825575483,14
0.23657182784639247,105
0.08382475015078487,315
0.8273423586325973,16
0.27006728929527923,93
0.09373408699968888,296
0.8782583143554089,13
0.22626930454904778,108
0.22936531794977197,110
0.8421809707972909,15
0.3583865462035639,65
0.045523775133313224,630
0.8498113643760764,15
0.3566487466448903,65
0.059706500168011024,473
0.8657900124782842,14
0.25406190883495083,98
0.060919031823033785,442
0.8505828026952844,15
0.2934687884937688,83
0.07814043459171854,339
0.8502752147856539,15
0.2346207684891115,108
0.11022671210824976,253
0.8506384112010356,15
0.22344881215651538,113
0.11880681095039602,221
0.8589658158689064,14
0.2261878838555861,110
0.07449503937354118,363
0.8582429485996548,15
0.36647851721211677,65
0.05462338045343231,507
0.8421717435107153,15
0.30164948218185944,78
0.09227545192753889,292
0.855342206174547,14
0.24535435855465287,99
0.0511188621990316,554
0.8585611093686817,14
0.29930345554927396,80
0.05339677080667886,496
0.8475196144737509,15
0.2521318514937848,99
0.06823624132578297,389
0.8592140023015268,14
0.2431320840989481,102
0.0732893113844658,377
0.8585370016964883,14
0.22007718906678364,115
0.07273026070706823,375
0.858499307929778,14
0.2973817861862418,82
0.05584134459204889,482
0.860640175487849,13
0.2507255601128119,99
0.06918905089565267,405
0.8574749110306638,14
